Case ID,Case Type,Court Type,Judge Name,Lawyer Name,Case Start Date,Case End Date,Judge Experience (Years),Lawyer Experience (Years),Case Duration (Days),Case Outcome,Lawyer Firm,Case Complexity Level,Case Status
1,Family,District Court,Rodney Simpson,Rachel Ortiz,2022-04-20,2024-04-17,25,34,728,Settlement,Smith & Co,Medium,Open
2,Civil,Commercial Court,Pam Young,Jason Lowery,2020-10-02,2023-02-21,33,10,872,Conviction,Young & Associates,Low,Pending
3,Family,Commercial Court,Danielle Allen,Julie Hickman,2020-08-28,2022-11-13,31,4,807,Dismissal,Clark & Harris,Low,Closed
4,Criminal,Small Claims Court,Joyce Williams,Gregory Edwards,2022-08-24,2024-01-06,13,22,500,Settlement,Young & Associates,High,Open
5,Corporate,High Court,Rachel Rios,Bailey Shelton,2024-12-29,2024-12-31,31,17,2,Dismissal,Carter Law,Low,Closed
6,Criminal,High Court,Rachael Boone,James Ramirez,2021-04-19,2022-10-27,23,26,556,Settlement,Davis Legal Services,High,Open
7,Property,High Court,Megan Parker,Dr. Michael Watkins,2020-11-21,2021-04-16,5,29,146,Dismissal,Carter Law,Medium,Pending
8,Criminal,Commercial Court,Taylor Ball,Robert Rodriguez,2024-08-29,2024-09-09,36,24,11,Conviction,Clark & Harris,Medium,Pending
9,Civil,High Court,Stephanie Castro,Jeanne Oneill,2021-10-31,2024-04-24,24,27,906,Pending,Smith & Co,Medium,Open
10,Criminal,Commercial Court,Bryan Nelson,Lawrence Thomas,2023-04-21,2024-03-02,23,24,316,Pending,Smith & Co,High,Closed
11,Civil,Commercial Court,Kathleen Chavez,Jennifer Hunt,2020-09-30,2024-08-17,39,6,1417,Settlement,Wilson Legal,Low,Pending
12,Corporate,High Court,Leslie Wise,Patricia Diaz,2023-03-30,2024-05-29,35,26,426,Settlement,Young & Associates,High,Open
13,Criminal,High Court,Steven Hall,Danielle Reyes,2024-05-19,2024-09-22,21,20,126,Settlement,Young & Associates,Low,Open
14,Corporate,District Court,Trevor Lewis,Diane Nguyen,2022-03-31,2023-02-12,12,27,318,Pending,Davis Law Firm,Medium,Pending
15,Corporate,Commercial Court,Dr. Brian Whitaker MD,Alex Flores,2022-06-04,2022-06-12,11,17,8,Dismissal,Young & Associates,Medium,Closed
16,Property,District Court,Jonathan Wagner,Carlos Butler,2020-10-20,2024-06-26,24,32,1345,Dismissal,Smith & Co,High,Closed
17,Family,Small Claims Court,Ms. Beth Gallagher,Adam Anderson,2023-02-04,2023-10-21,27,1,259,Dismissal,Clark & Harris,High,Pending
18,Criminal,Commercial Court,Mario Jackson,Kevin Morris,2023-08-16,2024-01-19,16,5,156,Pending,Davis Law Firm,High,Pending
19,Criminal,Small Claims Court,Scott Garza,Kenneth Lopez,2022-01-25,2023-01-29,32,11,369,Judgment for Plaintiff,Young & Associates,Low,Closed
20,Property,District Court,Jesse Thomas,Donna Lopez,2020-06-30,2024-01-07,14,17,1286,Dismissal,Wilson Legal,Medium,Pending
21,Property,High Court,John Vincent,Lauren Torres,2020-04-12,2024-02-07,14,16,1396,Judgment for Plaintiff,Smith & Co,Medium,Open
22,Criminal,Small Claims Court,Nicole Rangel,Allen Jefferson,2021-07-19,2024-05-09,16,9,1025,Acquittal,Clark & Harris,Medium,Open
23,Family,District Court,Jennifer Allen,Joseph Lawson,2024-05-04,2024-09-08,35,4,127,Conviction,Smith & Co,Medium,Pending
24,Family,Family Court,Lindsay Black,Matthew Kennedy,2023-11-16,2024-04-09,22,9,145,Dismissal,Smith & Co,Low,Closed
25,Property,Commercial Court,Tonya Wright,Gregory Melton,2020-11-29,2021-11-10,11,20,346,Judgment for Plaintiff,Smith & Co,High,Closed
26,Criminal,Commercial Court,Dennis Nelson,Christian Cole,2024-07-25,2024-11-14,22,11,112,Conviction,Davis Law Firm,Medium,Pending
27,Property,Small Claims Court,Anna Jackson,David Cox,2022-08-30,2024-11-26,14,1,819,Settlement,Young & Associates,Medium,Pending
28,Property,Small Claims Court,Janet Johnston,David Williams,2020-05-27,2023-06-06,28,7,1105,Acquittal,Lee & Partners,Low,Pending
29,Family,District Court,David Harris,Mr. Jonathan Jones DDS,2021-05-07,2024-12-17,6,15,1320,Pending,Carter Law,Medium,Closed
30,Property,Commercial Court,Tabitha Zimmerman,Christina Sanders,2023-01-26,2024-03-04,13,25,403,Judgment for Plaintiff,Davis Legal Services,Medium,Closed
31,Property,Small Claims Court,Elizabeth Ramirez,Steven Singleton,2023-09-04,2024-03-06,34,18,184,Pending,Clark & Harris,Low,Closed
32,Civil,Small Claims Court,Brooke Gallegos,Jason Carter,2024-07-07,2024-09-14,13,5,69,Settlement,Carter Law,Low,Open
33,Civil,Small Claims Court,Scott Galvan,Steven Zamora,2023-08-18,2024-04-06,31,9,232,Dismissal,Lee & Partners,High,Pending
34,Civil,Commercial Court,Joshua Zimmerman,Edward Macdonald,2024-03-26,2024-12-01,34,22,250,Judgment for Plaintiff,Wilson Legal,Low,Open
